idx,code,reaction
10,5,[C:1](=[C:2]([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20])([H:13])[H:14].[C:5]([C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12])([H:21])([H:22])[H:23]>>[C:1]1([H:13])([H:14])[C:2]([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[C:6]([C:5]([H:21])([H:22])[H:23])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12]
11,6,[C:1]([C:2]#[C:3][C:4]([F:5])([F:6])[F:7])([H:19])([H:20])[H:21].[C:8](=[N+:9]([C-:10]([C:11]([H:16])([H:17])[H:18])[H:15])[H:14])([H:12])[H:13]>>[C:1]([C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:10]([C:11]([H:16])([H:17])[H:18])([H:15])[N:9]([H:14])[C:8]1([H:12])[H:13])([H:19])([H:20])[H:21]
12,6,[C:1]([C:2]#[C:3][C:4]([F:5])([F:6])[F:7])([H:19])([H:20])[H:21].[C:8](=[N+:9]([C-:10]([C:11]([H:16])([H:17])[H:18])[H:15])[H:14])([H:12])[H:13]>>[C:1]([C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:8]([H:12])([H:13])[N:9]([H:14])[C:10]1([C:11]([H:16])([H:17])[H:18])[H:15])([H:19])([H:20])[H:21]
13,7,[C:1]([O:2][C:3]#[C:4][O:5][C:6]([H:15])([H:16])[H:17])([H:12])([H:13])[H:14].[C:7]([C:8]([C:9]([H:21])([H:22])[H:23])=[N+:10]([O-:11])[H:24])([H:18])([H:19])[H:20]>>[C:1]([O:2][C:3]1=[C:4]([O:5][C:6]([H:15])([H:16])[H:17])[O:11][N:10]([H:24])[C:8]1([C:7]([H:18])([H:19])[H:20])[C:9]([H:21])([H:22])[H:23])([H:12])([H:13])[H:14]
14,8,[C:1](#[C:2][C:3]([H:22])([H:23])[H:24])[H:21].[C:4]([O:5][C:6](=[O:7])[N-:8][N+:9](=[C:10]([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13])[H:17])([H:14])([H:15])[H:16]>>[C:1]1([H:21])=[C:2]([C:3]([H:22])([H:23])[H:24])[C:10]([C:11]([H:18])([H:19])[H:20])([C:12]#[N:13])[N:9]([H:17])[N:8]1[C:6]([O:5][C:4]([H:14])([H:15])[H:16])=[O:7]
15,8,[C:1](#[C:2][C:3]([H:22])([H:23])[H:24])[H:21].[C:4]([O:5][C:6](=[O:7])[N-:8][N+:9](=[C:10]([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13])[H:17])([H:14])([H:15])[H:16]>>[C:1]1([H:21])=[C:2]([C:3]([H:22])([H:23])[H:24])[N:8]([C:6]([O:5][C:4]([H:14])([H:15])[H:16])=[O:7])[N:9]([H:17])[C:10]1([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13]
16,9,[C:1]([C:2]#[C:3][C:4]([H:18])([H:19])[H:20])([H:15])([H:16])[H:17].[C:5]([C:6]([C:7]#[N:8])=[N+:9]([C-:10]([C:11]#[N:12])[C:13]#[N:14])[H:24])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4]([H:18])([H:19])[H:20])[C:10]([C:11]#[N:12])([C:13]#[N:14])[N:9]([H:24])[C:6]1([C:5]([H:21])([H:22])[H:23])[C:7]#[N:8])([H:15])([H:16])[H:17]
17,10,[C:1]([C:2]#[C:3][F:4])([H:14])([H:15])[H:16].[C:5]([C:6](=[O:7])[C:8](=[O+:9][C-:10]([C:11]([C:12]([H:22])([H:23])[H:24])=[O:13])[H:21])[H:20])([H:17])([H:18])[H:19]>>[C:1]([C:2]1=[C:3]([F:4])[C:10]([C:11]([C:12]([H:22])([H:23])[H:24])=[O:13])([H:21])[O:9][C:8]1([C:6]([C:5]([H:17])([H:18])[H:19])=[O:7])[H:20])([H:14])([H:15])[H:16]
18,11,[C:10](=[N+:11]([C-:12]([C:13]([H:18])([H:19])[H:20])[H:17])[H:16])([H:14])[H:15].[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]2>>[F:1][C:2]12[C:3]([F:4])([C:5]3([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]3)[C:12]([C:13]([H:18])([H:19])[H:20])([H:17])[N:11]([H:16])[C:10]2([H:14])[H:15]
19,11,[C:10](=[N+:11]([C-:12]([C:13]([H:18])([H:19])[H:20])[H:17])[H:16])([H:14])[H:15].[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]3([H:22])[C:7]([H:23])([C:8]1([H:24])[O:9]2)[C:12]([C:13]([H:18])([H:19])[H:20])([H:17])[N:11]([H:16])[C:10]3([H:14])[H:15]
20,12,[C:10]([C:11](=[N+:12]([C:13]([H:19])([H:20])[H:21])[N-:14][H:22])[H:18])([H:15])([H:16])[H:17].[C:1]([C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9])([H:23])([H:24])[H:25]>>[C:1]([C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[N:14]([H:22])[N:12]([C:13]([H:19])([H:20])[H:21])[C:11]1([C:10]([H:15])([H:16])[H:17])[H:18])([H:23])([H:24])[H:25]
21,12,[C:10]([C:11](=[N+:12]([C:13]([H:19])([H:20])[H:21])[N-:14][H:22])[H:18])([H:15])([H:16])[H:17].[C:1]([C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9])([H:23])([H:24])[H:25]>>[C:1]([C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[C:11]([C:10]([H:15])([H:16])[H:17])([H:18])[N:12]([C:13]([H:19])([H:20])[H:21])[N:14]1[H:22])([H:23])([H:24])[H:25]
22,13,[C:1]([O:2][C:3]([O:4][C:5]([H:17])([H:18])[H:19])=[C:6]([F:7])[F:8])([H:14])([H:15])[H:16].[C:9]([C-:10]([C:11]([H:23])([H:24])[H:25])[N+:12]#[N:13])([H:20])([H:21])[H:22]>>[C:1]([O:2][C:3]1([O:4][C:5]([H:17])([H:18])[H:19])[C:6]([F:7])([F:8])[C:10]([C:9]([H:20])([H:21])[H:22])([C:11]([H:23])([H:24])[H:25])[N:12]=[N:13]1)([H:14])([H:15])[H:16]
23,13,[C:1]([O:2][C:3]([O:4][C:5]([H:17])([H:18])[H:19])=[C:6]([F:7])[F:8])([H:14])([H:15])[H:16].[C:9]([C-:10]([C:11]([H:23])([H:24])[H:25])[N+:12]#[N:13])([H:20])([H:21])[H:22]>>[C:1]([O:2][C:3]1([O:4][C:5]([H:17])([H:18])[H:19])[C:6]([F:7])([F:8])[N:13]=[N:12][C:10]1([C:9]([H:20])([H:21])[H:22])[C:11]([H:23])([H:24])[H:25])([H:14])([H:15])[H:16]
24,14,[C:1](#[C:2][C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[H:18].[C:7]([C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14])([H:15])([H:16])[H:17]>>[C:1]1([H:18])=[C:2]([C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([C:7]([H:15])([H:16])[H:17])=[O:9]
25,14,[C:1](#[C:2][C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[H:18].[C:7]([C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14])([H:15])([H:16])[H:17]>>[C:1]1([H:18])=[C:2]([C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[N:10]([C:8]([C:7]([H:15])([H:16])[H:17])=[O:9])[O:11][N:12]1[C:13]#[N:14]
26,15,[C:1]1([H:21])=[C:2]([H:22])[C:3]2([H:23])[C:4]([H:24])=[C:5]([H:25])[C:6]1([H:26])[O:7]2.[C:8]([N-:9][N+:10]#[C:11][C:12]([C:13]([H:18])([H:19])[H:20])=[O:14])([H:15])([H:16])[H:17]>>[C:1]1([H:21])=[C:2]([H:22])[C:3]2([H:23])[C:4]3([H:24])[C:5]([H:25])([C:6]1([H:26])[O:7]2)[N:9]([C:8]([H:15])([H:16])[H:17])[N:10]=[C:11]3[C:12]([C:13]([H:18])([H:19])[H:20])=[O:14]
27,16,[C:1]1([H:15])=[C:2]([H:16])[C:3]2([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]1([H:22])[C:7]2([H:23])[H:24].[C:8](#[N+:9][C-:10]([C:11](=[O:12])[O:13][C:14]([H:27])([H:28])[H:29])[H:26])[H:25]>>[C:1]12([H:15])[C:2]([H:16])([C:3]3([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]1([H:22])[C:7]3([H:23])[H:24])[C:10]([C:11](=[O:12])[O:13][C:14]([H:27])([H:28])[H:29])([H:26])[N:9]=[C:8]2[H:25]
28,17,[C:1](/[C:2]([F:3])=[C:4](\[C:5]([H:18])([H:19])[H:20])[F:6])([H:15])([H:16])[H:17].[C:7]([C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14])([H:21])([H:22])[H:23]>>[C:1]([C@@:2]1([F:3])[C@:4]([C:5]([H:18])([H:19])[H:20])([F:6])[N:10]([C:8]([C:7]([H:21])([H:22])[H:23])=[O:9])[N:11]=[C:12]1[C:13]#[N:14])([H:15])([H:16])[H:17]
29,18,[C:1](#[C:2][C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[H:24].[C:6]([O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])([H:15])([H:16])[H:17]>>[C:1]1([H:24])=[C:2]([C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[N:10]([C:8]([O:7][C:6]([H:15])([H:16])[H:17])=[O:9])[O:11][C:12]1([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23]
30,18,[C:1](#[C:2][C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[H:24].[C:6]([O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])([H:15])([H:16])[H:17]>>[C:1]1([H:24])=[C:2]([C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[C:12]([C:13]([H:18])([H:19])[H:20])([C:14]([H:21])([H:22])[H:23])[O:11][N:10]1[C:8]([O:7][C:6]([H:15])([H:16])[H:17])=[O:9]
31,19,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][F:7])([H:16])([H:17])[H:18].[C:8]([C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15])([H:19])([H:20])[H:21]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([C:8]([H:19])([H:20])[H:21])=[N:10][C:11]1([C:12]#[N:13])[C:14]#[N:15])([H:16])([H:17])[H:18]
32,19,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][F:7])([H:16])([H:17])[H:18].[C:8]([C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15])([H:19])([H:20])[H:21]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:11]([C:12]#[N:13])([C:14]#[N:15])[N:10]=[C:9]1[C:8]([H:19])([H:20])[H:21])([H:16])([H:17])[H:18]
33,20,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]12[C:3]([F:4])([C:5]3([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]3)[C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[O:13][N:14]2[H:21])([H:22])([H:23])[H:24]
34,20,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]3([H:26])[C:7]([H:27])([C:8]1([H:28])[O:9]2)[N:14]([H:21])[O:13][C:11]3([C:10]([H:15])([H:16])[H:17])[C:12]([H:18])([H:19])[H:20])([H:22])([H:23])[H:24]
35,20,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]3([H:26])[C:7]([H:27])([C:8]1([H:28])[O:9]2)[C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[O:13][N:14]3[H:21])([H:22])([H:23])[H:24]
36,20,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]12[C:3]([F:4])([C:5]3([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]3)[N:14]([H:21])[O:13][C:11]2([C:10]([H:15])([H:16])[H:17])[C:12]([H:18])([H:19])[H:20])([H:22])([H:23])[H:24]
37,21,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][Cl:7])([H:14])([H:15])[H:16].[C:8]([C:9](=[O+:10][C-:11]([C:12]([H:21])([H:22])[H:23])[C:13]([H:24])([H:25])[H:26])[H:20])([H:17])([H:18])[H:19]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([Cl:7])[C:11]([C:12]([H:21])([H:22])[H:23])([C:13]([H:24])([H:25])[H:26])[O:10][C:9]1([C:8]([H:17])([H:18])[H:19])[H:20])([H:14])([H:15])[H:16]
38,21,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][Cl:7])([H:14])([H:15])[H:16].[C:8]([C:9](=[O+:10][C-:11]([C:12]([H:21])([H:22])[H:23])[C:13]([H:24])([H:25])[H:26])[H:20])([H:17])([H:18])[H:19]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([Cl:7])[C:9]([C:8]([H:17])([H:18])[H:19])([H:20])[O:10][C:11]1([C:12]([H:21])([H:22])[H:23])[C:13]([H:24])([H:25])[H:26])([H:14])([H:15])[H:16]
39,22,[C-:8]([O+:9]=[C:10]([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:16])[H:17].[C:1]([C:2]#[C:3][C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])[C:10]([C:11]#[N:12])([C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])[O:9][C:8]1([H:16])[H:17])([H:21])([H:22])[H:23]
40,22,[C-:8]([O+:9]=[C:10]([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:16])[H:17].[C:1]([C:2]#[C:3][C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])[C:8]([H:16])([H:17])[O:9][C:10]1([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:21])([H:22])[H:23]
41,23,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]12[C:3]([H:24])([C:4]3([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]3)[C:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])([H:20])[O:11][C:10]2([C:9]([H:16])([H:17])[H:18])[H:19]
42,23,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]12[C:3]([H:24])([C:4]3([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]3)[C:10]([C:9]([H:16])([H:17])[H:18])([H:19])[O:11][C:12]2([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20]
43,23,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]3([H:26])[C:6]([H:27])([C:7]1([H:28])[O:8]2)[C:10]([C:9]([H:16])([H:17])[H:18])([H:19])[O:11][C:12]3([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20]
44,23,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]3([H:26])[C:6]([H:27])([C:7]1([H:28])[O:8]2)[C:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])([H:20])[O:11][C:10]3([C:9]([H:16])([H:17])[H:18])[H:19]
45,24,[C:10]([C:11](=[O:12])[N:13]=[N+:14]([O-:15])[H:19])([H:16])([H:17])[H:18].[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[H:23])([H:20])([H:21])[H:22]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[N:13]([C:11]([C:10]([H:16])([H:17])[H:18])=[O:12])[N:14]([H:19])[O:15]1)[H:23])([H:20])([H:21])[H:22]
46,24,[C:10]([C:11](=[O:12])[N:13]=[N+:14]([O-:15])[H:19])([H:16])([H:17])[H:18].[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[H:23])([H:20])([H:21])[H:22]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[O:15][N:14]([H:19])[N:13]1[C:11]([C:10]([H:16])([H:17])[H:18])=[O:12])[H:23])([H:20])([H:21])[H:22]
47,25,[C-:9]([N+:10]#[C:11][C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])([H:16])[H:17].[F:1][C:2]1=[C:3]([H:22])[C:4]2([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]2([H:29])[H:30]>>[F:1][C:2]12[C:3]([H:22])([C:4]3([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]3([H:29])[H:30])[C:9]([H:16])([H:17])[N:10]=[C:11]2[C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18]
48,25,[C-:9]([N+:10]#[C:11][C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])([H:16])[H:17].[F:1][C:2]1=[C:3]([H:22])[C:4]2([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]2([H:29])[H:30]>>[F:1][C:2]12[C:3]([H:22])([C:4]3([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]3([H:29])[H:30])[C:11]([C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])=[N:10][C:9]2([H:16])[H:17]
49,26,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][O:7][C:8]([H:20])([H:21])[H:22])[H:19])([H:16])([H:17])[H:18].[C:9]([C-:10]([O+:11]=[C:12]([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:26])([H:23])([H:24])[H:25]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([O:7][C:8]([H:20])([H:21])[H:22])[C:12]([C:13]([H:27])([H:28])[H:29])([C:14]#[N:15])[O:11][C:10]1([C:9]([H:23])([H:24])[H:25])[H:26])[H:19])([H:16])([H:17])[H:18]
50,26,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][O:7][C:8]([H:20])([H:21])[H:22])[H:19])([H:16])([H:17])[H:18].[C:9]([C-:10]([O+:11]=[C:12]([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:26])([H:23])([H:24])[H:25]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([O:7][C:8]([H:20])([H:21])[H:22])[C:10]([C:9]([H:23])([H:24])[H:25])([H:26])[O:11][C:12]1([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:19])([H:16])([H:17])[H:18]
51,27,[C:10]([C:11]#[N+:12][C-:13]([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])([H:16])([H:17])[H:18].[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:28])([H:29])[H:30])=[O:9])([H:25])([H:26])[H:27]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:28])([H:29])[H:30])=[O:9])[C:11]([C:10]([H:16])([H:17])[H:18])=[N:12][C:13]1([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])([H:25])([H:26])[H:27]
52,27,[C:10]([C:11]#[N+:12][C-:13]([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])([H:16])([H:17])[H:18].[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:28])([H:29])[H:30])=[O:9])([H:25])([H:26])[H:27]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:28])([H:29])[H:30])=[O:9])[C:13]([C:14]([H:19])([H:20])[H:21])([C:15]([H:22])([H:23])[H:24])[N:12]=[C:11]1[C:10]([H:16])([H:17])[H:18])([H:25])([H:26])[H:27]
