Rind,reaction,idx,code
MR_101643_1,[C:1]([N:3]([N:2]([O:5][N:4]([H:8])[H:9])[H:6])[H:7])([H:10])([H:11])[H:12]>>[C:1](/[N:3]=[N+:2](\[O-:5])[H:6])([H:10])([H:11])[H:12].[N:4]([H:7])([H:8])[H:9],25,22
MR_101654_2,[C:1]([C:2]([H:10])([H:11])[H:12])([O:4][C:3]([O:5][H:7])=[O:6])([H:8])[H:9]>>[C:1]([C:2]([H:10])([H:11])[H:12])([O:4][H:7])([H:8])[H:9].[C:3](=[O:5])=[O:6],26,23
MR_10180_1,[C:1](=[C:2]([H:11])[H:12])([N:4]([H:9])[H:10])[O:6][H:7].[C:3]([O:5][H:8])([H:13])([H:14])[H:15]>>[C:1]([C:2]([H:8])([H:11])[H:12])([N:4]([H:9])[H:10])=[O:6].[C:3]([O:5][H:7])([H:13])([H:14])[H:15],27,24
MR_101878_0,[C:1]([N:2]([H:8])[H:9])([O:3][H:5])([O:4][H:6])[H:7]>>[C:1]([N:2]([H:8])[H:9])(=[O:3])[H:7].[O:4]([H:5])[H:6],28,25
MR_101878_1,[C:1]([N:2]([H:8])[H:9])([O:3][H:5])([O:4][H:6])[H:7]>>[C:1]([N:2]([H:8])[H:9])(=[O:3])[H:7].[O:4]([H:5])[H:6],29,25
MR_10215_2,[C-:1]1([H:8])[N@@+:5]([C:4]([H:13])([H:14])[H:15])([H:7])[C:3]([H:11])([H:12])[C:2]([H:9])([H:10])[O:6]1>>[C:1]1([H:7])([H:8])[N:5]([C:4]([H:13])([H:14])[H:15])[C:3]([H:11])([H:12])[C:2]([H:9])([H:10])[O:6]1,30,26
MR_102165_1,[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:5])([O:4][H:6])[H:14].[H:7][C:12]([C:11]([H:15])([H:16])[H:17])=[O:13]>>[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:5])=[O:4].[H:6][O:13][C:12]([H:7])([C:11]([H:15])([H:16])[H:17])[H:14],31,27
MR_102190_0,[C:1]1([O:5][H:7])([H:8])[C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:9])[O:6]1>>[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([O:6][H:7])[H:9])(=[O:5])[H:8],32,28
MR_102190_1,[C:1]1([O:5][H:7])([H:8])[C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:9])[O:6]1>>[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([O:6][H:7])[H:9])(=[O:5])[H:8],33,28
MR_102242_1,[C:2](=[C:4]=[C:5]([H:11])[H:12])=[O:6].[N:1]([N:3]([H:8])[H:9])([H:7])[H:10]>>[N:1]([C:2]([C:4](=[C:5]([H:11])[H:12])[H:10])=[O:6])([N:3]([H:8])[H:9])[H:7],34,29
MR_102275_1,[C:1]([N@+:2]([C:3]([O:5][H:7])=[O:6])([N-:4][H:8])[H:9])([H:10])([H:11])[H:12]>>[C:1]([N:2]([C:3]([O:5][H:7])=[O:6])[N:4]([H:8])[H:9])([H:10])([H:11])[H:12],35,30
MR_102277_2,[C:1]([N:2]([C:3]([O:5][H:7])([O:6][H:16])[N:14]([C:13]([H:17])([H:18])[H:19])[H:15])[N:4]([H:8])[H:9])([H:10])([H:11])[H:12]>>[C:13]([N:14]([H:15])[H:16])([H:17])([H:18])[H:19].[C:1]([N:2]([C:3]([O:5][H:7])=[O:6])[N:4]([H:8])[H:9])([H:10])([H:11])[H:12],36,31
MR_102298_0,[C-:1]([C:4]([H:15])([H:16])[H:17])(/[N+:5](=[C:6](/[C:3]([H:12])([H:13])[H:14])[N:7]=[C:2]([H:10])[H:11])[H:8])[H:9]>>[C:1]1([C:4]([H:15])([H:16])[H:17])([H:9])[C:2]([H:10])([H:11])[N:7]=[C:6]([C:3]([H:12])([H:13])[H:14])[N:5]1[H:8],37,32
MR_102346_0,[C:1](/[N:7]=[C:2](\[C:5]([C-:3]=[N+:4]([H:9])[H:10])([H:14])[H:15])[O:6][H:8])([H:11])([H:12])[H:13]>>[C:1](/[N:7]=[C:2](\[C:3]([N:4]([H:9])[H:10])=[C:5]([H:14])[H:15])[O:6][H:8])([H:11])([H:12])[H:13],38,33
MR_102470_0,[C:1]([O:4][H:15])([H:7])([H:8])[H:9].[C:2](#[C:3][H:11])[O:5][H:6].[H:10][N:13]([C:12]([H:16])([H:17])[H:18])[H:14]>>[C:12]([N:13]([H:14])[H:15])([H:16])([H:17])[H:18].[C:1]([O:4][C:2](=[C:3]([H:10])[H:11])[O:5][H:6])([H:7])([H:8])[H:9],39,34
MR_102502_1,[C:10](#[C:12][H:17])[H:14].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:18])([H:5])[H:6].[H:4][N:13]=[C:11]([H:15])[H:16]>>[C:10](=[C:12]([H:17])[H:18])([N:13]=[C:11]([H:15])[H:16])[H:14].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:4])([H:5])[H:6],40,35
MR_102548_1,[C:1](=[N+:5](/[C:6](=[C:2](/[C:4]([H:17])([H:18])[H:19])[H:12])[O-:8])[H:9])([H:10])[H:11].[C:3]([O:7][H:13])([H:14])([H:15])[H:16]>>[C:1]([N:5]([C:6]([C:2]([C:4]([H:17])([H:18])[H:19])([H:12])[H:13])=[O:8])[H:9])([O:7][C:3]([H:14])([H:15])[H:16])([H:10])[H:11],41,36
MR_102614_2,[C:1]([N:4]([N:7]([H:10])[H:11])[H:9])([H:12])([H:13])[H:14].[C:2]([N:5]1[C:6]([C:3]([H:18])([H:19])[H:20])=[N:8]1)([H:15])([H:16])[H:17]>>[C:1]([N:4]([N:7]([H:10])[H:11])[H:9])([H:12])([H:13])[H:14].[C:2]([N:5]=[N+:8]=[C-:6][C:3]([H:18])([H:19])[H:20])([H:15])([H:16])[H:17],42,37
MR_102632_2,[C:1]([C:3]([N:2]([N:4]([H:7])[H:8])[H:6])([O:5][H:17])[N:12]([N:13]([H:14])[H:15])[H:16])([H:9])([H:10])[H:11]>>[C:1]([C:3]([N:2]([N:4]([H:7])[H:8])[H:6])=[O:5])([H:9])([H:10])[H:11].[N:12]([N:13]([H:14])[H:15])([H:16])[H:17],43,38
MR_102710_1,[C:1]([C:3](=[C:5]([H:14])[H:15])[H:10])([H:11])([H:12])[H:13].[N:2]([C:4]#[N+:7][H:9])([O-:6])[H:8]>>[C:1]([C:3](=[C:5]([H:14])[H:15])[O:6][N:2](/[C:4](=[N:7]/[H:9])[H:10])[H:8])([H:11])([H:12])[H:13],44,39
MR_102730_0,[C-:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])[N+:6](=[C:4]([H:16])[H:17])[H:9].[C:5]([C:7](=[C:8]([H:22])[H:23])[H:18])([H:19])([H:20])[H:21]>>[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])([N:6]([C:4]([H:16])([H:17])[H:18])[H:9])[C:7]([C:5]([H:19])([H:20])[H:21])=[C:8]([H:22])[H:23],45,40
MR_102857_0,[C:1](/[C:5]([C:2]([H:14])([H:15])[H:16])=[C:6](\[C:3]([H:17])([H:18])[H:19])[H:13])([O:8][O:7][N:4]([H:9])[H:10])([H:11])[H:12]>>[C:1]1([H:11])([H:12])[C:5]([C:2]([H:14])([H:15])[H:16])([C:6]([C:3]([H:17])([H:18])[H:19])([O:7][N:4]([H:9])[H:10])[H:13])[O:8]1,46,41
MR_102868_1,[C:11]([C:12]([H:16])([H:17])[H:18])(=[C:13]([H:19])[H:20])[H:14].[C:1]([C:2]([N:3]([H:7])[H:8])([O:5][H:21])[H:15])([O:4][H:6])([H:9])[H:10]>>[C:11]([C:12]([H:16])([H:17])[H:18])([C:13]([H:19])([H:20])[H:21])([H:14])[H:15].[C:1]([C:2]([N:3]([H:7])[H:8])=[O:5])([O:4][H:6])([H:9])[H:10],47,42
MR_102942_0,[C:1]([C:3](=[C:7]([H:17])[H:18])[N+:8](/[C:2]([N:4]([H:9])[H:10])=[C-:5]/[H:11])=[C:6]([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1]([C:3](/[C:5](=[C:2](/[N:4]([H:9])[H:10])[N:8]=[C:6]([H:15])[H:16])[H:11])=[C:7]([H:17])[H:18])([H:12])([H:13])[H:14],48,43
MR_344655_1,[C:1]([C:3](=[C:7]([H:17])[H:18])[N+:8](/[C:2]([N:4]([H:9])[H:10])=[C-:5]/[H:11])=[C:6]([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1]([C:3](/[C:5](=[C:2](/[N:4]([H:9])[H:10])[N:8]=[C:6]([H:15])[H:16])[H:11])=[C:7]([H:17])[H:18])([H:12])([H:13])[H:14],49,43
MR_102969_0,[C:11]([C:12]([N:13]([H:15])[H:16])=[C:14]([H:20])[H:21])([H:17])([H:18])[H:19].[C:1](/[N:4]=[C:3](\[N:2]([H:5])[H:6])[H:7])([H:8])([H:9])[H:10]>>[C:1]([N:4]([C:3]([N:2]([H:5])[H:6])([H:7])[C:14](/[C:12]([C:11]([H:17])([H:18])[H:19])=[N:13]/[H:16])([H:20])[H:21])[H:15])([H:8])([H:9])[H:10],50,44
MR_102969_2,[C:11]([C:12]([N:13]([H:15])[H:16])=[C:14]([H:20])[H:21])([H:17])([H:18])[H:19].[C:1](/[N:4]=[C:3](/[N:2]([H:5])[H:6])[H:7])([H:8])([H:9])[H:10]>>[C:1]([N:4]([C:3]([N:2]([H:5])[H:6])([H:7])[C:14](/[C:12]([C:11]([H:17])([H:18])[H:19])=[N:13]/[H:15])([H:20])[H:21])[H:16])([H:8])([H:9])[H:10],51,45
MR_102989_1,[C:1](=[C:3](\[N:4]([H:9])[H:10])[O:7][H:14])(\[N:5]([H:11])[H:12])[H:8].[C:2](=[N:6][H:13])([H:15])[H:16]>>[C:1]([C:2]([N:6]([H:13])[H:14])([H:15])[H:16])([C:3]([N:4]([H:9])[H:10])=[O:7])([N:5]([H:11])[H:12])[H:8],52,46
MR_103030_0,[C:1]([N:2]([H:6])[C:13]([C:12]([H:17])([H:18])[H:19])([N:14]([H:8])[H:15])[H:16])([H:9])([H:10])[H:11].[C:3](=[N:4][H:7])=[O:5]>>[C:12](/[C:13](=[N:14]\[H:15])[H:16])([H:17])([H:18])[H:19].[C:1]([N:2]([C:3]([N:4]([H:7])[H:8])=[O:5])[H:6])([H:9])([H:10])[H:11],53,47
MR_1033_1,[C:1]([C:2]([O:3][H:6])([O:5][H:7])[H:9])(=[O:4])[H:8]>>[C:1]([C:2]([O:3][H:6])=[O:5])([O:4][H:7])([H:8])[H:9],54,48
MR_103490_2,[C:13]([N:14]([H:17])[H:18])([C:15](=[O:16])[H:19])([H:20])[H:21].[C:1]([C:2]([H:8])([H:9])[H:10])([C:3]([H:7])([H:11])[H:12])([O:4][H:5])[H:6]>>[C:1]([C:2]([H:8])([H:9])[H:10])([C:3]([H:7])([H:11])[H:12])=[O:4].[H:5][O:16][C:15]([H:6])([C:13]([N:14]([H:17])[H:18])([H:20])[H:21])[H:19],55,49
MR_103774_0,[C:1]1([H:9])([H:10])[C:4](=[C:6]([H:15])[H:16])[C@@:3]2([C:2]([H:12])([H:13])[H:14])[N:7]=[N+:8]2[C-:5]1[H:11]>>[C:1]1([H:9])([H:10])[C:4](=[C:6]([H:15])[H:16])[C:3]([C:2]([H:12])([H:13])[H:14])=[N:7][N:8]=[C:5]1[H:11],56,50
MR_103781_0,[C:1]([C-:2](/[C:4](=[N+:7](\[N:8]=[C-:6]\[H:16])[H:17])[H:11])[C:5](=[N+:3]([H:9])[H:10])[H:12])([H:13])([H:14])[H:15]>>[C:1]([C:2](/[C:4](=[N:7]\[N:8]=[C:6]([H:16])[H:17])[H:11])=[C:5](/[N:3]([H:9])[H:10])[H:12])([H:13])([H:14])[H:15],57,51
MR_103798_0,[C:14](=[O:17])([H:19])[H:20].[C:1]([C:3]([H:11])([H:12])[H:13])([O:5][H:6])([H:7])[O:16][C:15]([H:21])([H:22])[H:23].[C:2]([O:4][H:18])([H:8])([H:9])[H:10]>>[C:1]([C:3]([H:11])([H:12])[H:13])([O:5][H:6])([H:7])[O:16][C:15]([H:21])([H:22])[H:23].[C:2]([O:4][C:14]([O:17][H:18])([H:19])[H:20])([H:8])([H:9])[H:10],58,52
MR_103865_0,[C:1]([C:2]([H:7])([H:8])[H:9])(=[C:3]([H:10])[H:11])[H:4].[H:5][C:14]([C:12]([H:18])([H:19])[H:20])([C:15]([C:13]([H:21])([H:22])[H:23])=[C:16]([H:24])[H:25])[O:17][H:6]>>[C:12]([C:14]([C:15]([C:13]([H:21])([H:22])[H:23])=[C:16]([H:24])[H:25])=[O:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:7])([H:8])[H:9])([C:3]([H:6])([H:10])[H:11])([H:4])[H:5],59,53
MR_103981_0,[C:1](=[C:4]=[O:6])([H:9])[H:10].[C:2]([N:3]([N+:7]#[C-:5])[H:8])([H:11])([H:12])[H:13]>>[C:1]([C:4]([N:3]([C:2]([H:11])([H:12])[H:13])[H:8])=[O:6])([C:5]#[N:7])([H:9])[H:10],60,54
MR_5602_1,[C:1](=[C:4]=[O:6])([H:9])[H:10].[C:2]([N:3]([N+:7]#[C-:5])[H:8])([H:11])([H:12])[H:13]>>[C:1]([C:4]([N:3]([C:2]([H:11])([H:12])[H:13])[H:8])=[O:6])([C:5]#[N:7])([H:9])[H:10],61,54
MR_104056_0,[C:1]([C:3]([H:16])([H:17])[H:18])([H:9])([H:11])[H:12].[C:2](/[N:5]=[N+:4](\[C-:6]=[N:7]\[H:10])[H:8])([H:13])([H:14])[H:15]>>[C:1]([C:3]([H:16])([H:17])[H:18])(/[C:6]([N:4]([N:5]([C:2]([H:13])([H:14])[H:15])[H:9])[H:8])=[N:7]\[H:10])([H:11])[H:12],62,55
MR_104056_1,[C:1]([C:3]([H:16])([H:17])[H:18])([H:9])([H:11])[H:12].[C:2](/[N:5]=[N+:4](\[C-:6]=[N:7]/[H:10])[H:8])([H:13])([H:14])[H:15]>>[C:1]([C:3]([H:16])([H:17])[H:18])(/[C:6]([N:4]([N:5]([C:2]([H:13])([H:14])[H:15])[H:9])[H:8])=[N:7]/[H:10])([H:11])[H:12],63,56
MR_104186_1,[C:1]([C:2](/[C-:3]=[O+:4]/[H:7])([C:5]#[N:6])[H:8])([H:9])([H:10])[H:11]>>[C:1](/[C:2](=[C:3](\[O:4][H:7])[H:8])[C:5]#[N:6])([H:9])([H:10])[H:11],64,57
MR_104203_2,[C:14]([N:15]([H:16])[H:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:11])([H:12])[H:13])([N:3]([H:7])[H:8])([N:4]([H:9])[H:10])[O:5][H:6]>>[C:1]([C:2]([H:11])([H:12])[H:13])([N:3]([H:7])[H:8])=[O:5].[H:6][N:15]([C:14]([H:18])([H:19])[H:20])[H:16].[N:4]([H:9])([H:10])[H:17],65,58
MR_443240_1,[C:14]([N:15]([H:16])[H:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:11])([H:12])[H:13])([N:3]([H:7])[H:8])([N:4]([H:9])[H:10])[O:5][H:6]>>[C:14]([N:15]([H:16])[H:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:11])([H:12])[H:13])([N:3]([H:7])[H:8])=[O:5].[N:4]([H:6])([H:9])[H:10],66,58
MR_104228_0,[C:1](\[C:2]([H:11])([H:12])[H:13])(=[N:3]\[H:7])[N:4]([H:9])[H:10].[H:8][N:16]([C:14]([H:18])([H:19])[H:23])[C:15]([H:20])([H:21])[H:22].[O:5]([H:6])[H:17]>>[C:14]([N:16]([C:15]([H:20])([H:21])[H:22])[H:17])([H:18])([H:19])[H:23].[C:1]([C:2]([H:11])([H:12])[H:13])([N:3]([H:7])[H:8])([N:4]([H:9])[H:10])[O:5][H:6],67,59
MR_104365_1,[C:1](/[C:4](=[C:3]1/[N:2]([H:7])[N:6]1)[C:5]([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:4](=[C:5]([H:11])[H:12])[N:6][C:3][N:2][H:7])([H:8])([H:9])[H:10],68,60
MR_104413_0,[C:1]([O:4][H:15])([H:6])([H:7])[H:8].[C:2]([C:3](=[O:5])[O:14][C:12](=[O:13])[H:16])([H:9])([H:10])[H:11]>>[C:12]([O:13][H:15])(=[O:14])[H:16].[C:1]([O:4][C:3]([C:2]([H:9])([H:10])[H:11])=[O:5])([H:6])([H:7])[H:8],69,61
MR_104521_1,[C-:1](\[C:3]([C:2]([C:4]([H:17])([H:18])[H:19])([C:5]([O:8][H:12])=[O:9])[H:14])([H:15])[H:16])=[O+:7]\[H:11].[O:6]([H:10])[H:13]>>[C:1]([C:3]([C:2]([C:4]([H:17])([H:18])[H:19])([C:5]([O:8][H:12])=[O:9])[H:14])([H:15])[H:16])([O:6][H:10])([O:7][H:11])[H:13],70,62
MR_104541_1,[C:1]([C:2]([O:4][H:7])([H:9])[H:10])([C:3]([H:11])([H:12])[H:13])([N:5]=[O:6])[H:8]>>[C:1](\[C:3]([H:11])([H:12])[H:13])(=[N+:5](/[C:2]([O:4][H:7])([H:9])[H:10])[O-:6])[H:8],71,63
MR_104568_1,[C:1](=[C:3]([H:13])[H:14])([C:4]([H:16])([H:17])[H:18])[O:7][H:11].[C:2]([C:5]([H:19])([H:20])[H:21])([C:6]([H:22])([H:23])[H:24])([O:8][H:12])[N+:9](=[N-:10])[H:15]>>[C:1]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])([O:7][H:11])/[N:10]=[N:9]/[C:2]([C:5]([H:19])([H:20])[H:21])([C:6]([H:22])([H:23])[H:24])[O:8][H:12],72,64
MR_104640_1,[C:1]([N-:4][N@+:3]([N:2]([H:5])[H:6])([C:10]([N:11]([H:12])[H:13])([H:14])[H:15])[H:16])([H:7])([H:8])[H:9]>>[C:10]([N:11]([H:12])[H:13])([H:14])([H:15])[H:16].[C:1](/[N:4]=[N:3]/[N:2]([H:5])[H:6])([H:7])([H:8])[H:9],73,65
MR_104785_1,[C:1]([C:3]([H:11])([H:13])[H:14])([C:4]([H:12])([H:15])[H:16])([C:5](/[N:7]=[O+:6]\[C-:2]([H:9])[H:10])([H:17])[H:18])[H:8]>>[C:1]([C:2]([O:6][N:7]=[C:5]([H:17])[H:18])([H:9])[H:10])([C:3]([H:11])([H:13])[H:14])([C:4]([H:12])([H:15])[H:16])[H:8],74,66
MR_104824_0,[C:1]1([N:4]([H:9])[H:10])([H:11])[C:3]([N:2]([O:5][H:7])[H:8])([H:12])[O:6]1>>[C:1]([C:3]([N:2]([O:5][H:7])[H:8])=[O:6])([N:4]([H:9])[H:10])([H:11])[H:12],75,67
MR_402169_1,[C:1]1([N:4]([H:9])[H:10])([H:11])[C:3]([N:2]([O:5][H:7])[H:8])([H:12])[O:6]1>>[C:1]([C:3]([N:2]([O:5][H:7])[H:8])=[O:6])([N:4]([H:9])[H:10])([H:11])[H:12],76,67
MR_105070_2,[N-:1]([C:2](=[C:5]([H:12])[H:13])[N+:7]([C:3](=[C:6]([H:14])[H:15])[H:9])=[C:4]([H:10])[H:11])[H:8]>>[N:1]([C:2](=[C:5]([H:12])[H:13])[N:7]=[C:4]([H:10])[H:11])([C:3](=[C:6]([H:14])[H:15])[H:9])[H:8],77,68
